entry_time,exit_time,month,direction,entry_price,exit_price,pnl,bars,exit_reason,dist_atr_entry,score_entry,factors_entry,regime_entry
2024-02-23 04:00,2024-02-27 08:00,2024-02,BUY,2077.17,2079.99,-0.22,52,reverse_signal,1.48,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-02-27 08:00,2024-02-27 09:00,2024-02,SELL,2079.99,2083.66,-0.87,1,reverse_signal,0.37,3,"KDJ-OB,TOP-DIV",ranging
2024-02-27 09:00,2024-02-28 05:00,2024-02,BUY,2083.66,2087.11,-0.15,20,reverse_signal,1.52,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-02-28 05:00,2024-02-28 08:00,2024-02,SELL,2087.11,2081.5,0.06,3,reverse_signal,0.15,3,"KDJ-OB,TOP-DIV",ranging
2024-02-28 08:00,2024-02-28 11:00,2024-02,BUY,2081.5,2073.34,-1.32,3,hard_stop,-1.54,3,"TREND+,KDJ-OS,LOW-VOL",ranging
2024-02-28 12:00,2024-02-29 22:00,2024-02,BUY,2073.61,2093.43,1.48,34,reverse_signal,-3.12,4,"TREND+,KDJ-OS,KC-BOT,LOW-VOL",ranging
2024-02-29 22:00,2024-02-29 23:00,2024-02,SELL,2093.43,2094.95,-0.65,1,reverse_signal,2.05,3,"KDJ-OB,TOP-DIV",ranging
2024-02-29 23:00,2024-03-01 03:00,2024-02,BUY,2094.95,2098.95,-0.1,4,reverse_signal,2.43,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-03-01 03:00,2024-03-01 16:00,2024-03,SELL,2098.95,2104.2,-1.02,13,hard_stop,3.17,5,"KDJ-OB,KC-TOP,TOP-DIV,RSI-OB",ranging
2024-03-01 17:00,2024-03-01 19:00,2024-03,SELL,2103.64,2103.2,-0.46,2,reverse_signal,2.51,4,"KDJ-OB,KC-TOP,TOP-DIV",ranging
2024-03-01 19:00,2024-03-02 01:00,2024-03,BUY,2103.2,2097.58,-1.06,6,hard_stop,1.98,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-03-02 02:00,2024-03-04 09:00,2024-03,BUY,2095.7,2091.04,-0.97,7,hard_stop,-1.62,6,"TREND+,KDJ-OS,BB-BOT,DIVERG,LOW-VOL",ranging
2024-03-04 10:00,2024-03-04 17:00,2024-03,BUY,2089.92,2085.06,-0.99,7,hard_stop,-2.46,4,"TREND+,KDJ-OS,KC-BOT,LOW-VOL",ranging
2024-03-04 18:00,2024-03-05 10:00,2024-03,BUY,2084.13,2079.99,-0.91,16,hard_stop,-2.87,6,"TREND+,KDJ-OS,KC-BOT,DIVERG,LOW-VOL",ranging
2024-03-05 11:00,2024-03-06 04:00,2024-03,BUY,2079.57,2072.37,-1.22,17,hard_stop,-2.19,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-03-06 07:00,2024-03-06 14:00,2024-03,BUY,2076.87,2070.76,-1.11,7,hard_stop,-0.5,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-03-06 15:00,2024-03-07 14:00,2024-03,BUY,2067.81,2062.75,-1.01,23,hard_stop,-2.57,3,"KDJ-OS,KC-BOT,LOW-VOL",ranging
2024-03-07 19:00,2024-03-07 22:00,2024-03,BUY,2059.78,2053.98,-1.08,3,hard_stop,-2.59,3,"KDJ-OS,KC-BOT,LOW-VOL",ranging
2024-03-07 23:00,2024-03-11 08:00,2024-03,BUY,2054.2,2064.87,0.57,33,reverse_signal,-3.52,4,"KDJ-OS,KC-BOT,RSI-OS,LOW-VOL",ranging
2024-03-11 08:00,2024-03-11 10:00,2024-03,SELL,2064.87,2066.71,-0.68,2,reverse_signal,0.71,3,"KDJ-OB,TOP-DIV",ranging
2024-03-11 10:00,2024-03-11 21:00,2024-03,BUY,2066.71,2056.9,-1.48,11,hard_stop,1.35,3,"DIVERG,LOW-VOL",ranging
2024-03-11 22:00,2024-03-12 06:00,2024-03,BUY,2057.25,2052.86,-0.94,8,hard_stop,-2.44,6,"KDJ-OS,BB-BOT,KC-BOT,DIVERG,LOW-VOL",ranging
2024-03-12 07:00,2024-03-13 19:00,2024-03,BUY,2054.16,2057.57,-0.16,36,reverse_signal,-1.91,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-03-13 19:00,2024-03-14 00:00,2024-03,SELL,2057.57,2061.73,-0.92,5,reverse_signal,0.27,3,"KDJ-OB,TOP-DIV",ranging
2024-03-14 00:00,2024-03-14 20:00,2024-03,BUY,2061.73,2056.17,-1.06,20,hard_stop,1.6,3,"DIVERG,LOW-VOL",ranging
2024-03-15 01:00,2024-03-18 16:00,2024-03,BUY,2058.32,2072.86,0.95,39,reverse_signal,-0.28,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-03-18 16:00,2024-03-18 17:00,2024-03,SELL,2072.86,2075.82,-0.8,1,reverse_signal,1.26,3,"KC-TOP,TOP-DIV",ranging
2024-03-18 17:00,2024-03-19 11:00,2024-03,BUY,2075.82,2087.63,0.68,18,reverse_signal,2.14,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-03-19 11:00,2024-03-19 16:00,2024-03,SELL,2087.63,2093.44,-1.08,5,hard_stop,1.28,4,"KDJ-OB,KC-TOP,TOP-DIV",ranging
2024-03-19 17:00,2024-03-19 21:00,2024-03,SELL,2091.37,2087.74,-0.14,4,reverse_signal,1.61,3,"KDJ-OB,TOP-DIV",ranging
2024-03-19 21:00,2024-03-21 00:00,2024-03,BUY,2087.74,2094.64,0.19,27,reverse_signal,0.05,3,"TREND+,KDJ-OS,LOW-VOL",ranging
2024-03-21 00:00,2024-03-21 01:00,2024-03,SELL,2094.64,2096.58,-0.69,1,reverse_signal,0.67,3,"KDJ-OB,TOP-DIV",ranging
2024-03-21 01:00,2024-03-21 08:00,2024-03,BUY,2096.58,2089.48,-1.21,7,hard_stop,1.25,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-03-21 09:00,2024-03-21 20:00,2024-03,BUY,2090.9,2085.82,-1.01,11,hard_stop,-0.81,5,"TREND+,KDJ-OS,DIVERG,LOW-VOL",ranging
2024-03-21 21:00,2024-03-23 04:00,2024-03,BUY,2081.92,2091.72,0.48,31,reverse_signal,-3.07,7,"TREND+,KDJ-OS,BB-BOT,KC-BOT,DIVERG,LOW-VOL",ranging
2024-03-23 04:00,2024-03-25 10:00,2024-03,SELL,2091.72,2092.05,-0.53,6,reverse_signal,0.92,3,"KDJ-OB,TOP-DIV",ranging
2024-03-25 10:00,2024-03-27 03:00,2024-03,BUY,2092.05,2086.24,-1.08,41,hard_stop,0.82,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-03-27 04:00,2024-03-28 00:00,2024-03,BUY,2084.66,2077.84,-1.18,20,hard_stop,-3.58,6,"KDJ-OS,KC-BOT,DIVERG,RSI-OS,LOW-VOL",ranging
2024-03-28 01:00,2024-03-29 09:00,2024-03,BUY,2074.27,2082.42,0.32,32,reverse_signal,-3.87,7,"KDJ-OS,BB-BOT,KC-BOT,DIVERG,RSI-OS,LOW-VOL",ranging
2024-03-29 09:00,2024-03-29 13:00,2024-03,SELL,2082.42,2087.64,-1.02,4,hard_stop,0.51,3,"KDJ-OB,TOP-DIV",ranging
2024-03-29 23:00,2024-03-30 05:00,2024-03,BUY,2086.98,2086.16,-0.58,6,reverse_signal,1.27,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-03-30 05:00,2024-04-01 08:00,2024-03,SELL,2086.16,2087.52,-0.64,3,reverse_signal,0.51,3,"KDJ-OB,TOP-DIV",ranging
2024-04-01 08:00,2024-04-01 11:00,2024-04,BUY,2087.52,2081.82,-1.07,3,hard_stop,1.03,3,"DIVERG,LOW-VOL",ranging
2024-04-01 12:00,2024-04-01 14:00,2024-04,BUY,2080.95,2076.04,-0.99,2,hard_stop,-1.64,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-04-01 15:00,2024-04-01 21:00,2024-04,BUY,2075.46,2081.96,0.15,6,reverse_signal,-3.24,6,"KDJ-OS,BB-BOT,KC-BOT,DIVERG,LOW-VOL",ranging
2024-04-01 21:00,2024-04-02 11:00,2024-04,SELL,2081.96,2088.36,-1.14,14,hard_stop,0.25,3,"KDJ-OB,TOP-DIV",ranging
2024-04-03 00:00,2024-04-03 05:00,2024-04,BUY,2098.23,2098.6,-0.46,5,reverse_signal,2.87,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-04-03 05:00,2024-04-03 13:00,2024-04,SELL,2098.6,2107.41,-1.38,8,hard_stop,2.25,3,"KDJ-OB,TOP-DIV",ranging
2024-04-03 14:00,2024-04-03 17:00,2024-04,SELL,2109.78,2110.85,-0.61,3,reverse_signal,4.19,5,"KDJ-OB,KC-TOP,TOP-DIV,RSI-OB",ranging
2024-04-03 17:00,2024-04-03 21:00,2024-04,BUY,2110.85,2114.91,-0.09,4,reverse_signal,3.67,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-04-03 21:00,2024-04-04 07:00,2024-04,SELL,2114.91,2109.69,0.02,10,reverse_signal,4.06,5,"KDJ-OB,KC-TOP,TOP-DIV,RSI-OB",ranging
2024-04-04 07:00,2024-04-04 16:00,2024-04,BUY,2109.69,2103.61,-1.11,9,hard_stop,0.07,3,"TREND+,KDJ-OS,LOW-VOL",ranging
2024-04-04 17:00,2024-04-05 10:00,2024-04,BUY,2102.66,2095.96,-1.17,17,hard_stop,-2.28,5,"TREND+,KDJ-OS,BB-BOT,KC-BOT,LOW-VOL",ranging
2024-04-05 11:00,2024-04-05 12:00,2024-04,BUY,2096.6,2091.36,-1.02,1,hard_stop,-2.37,4,"TREND+,KDJ-OS,KC-BOT,LOW-VOL",ranging
2024-04-05 13:00,2024-04-08 17:00,2024-04,BUY,2090.86,2100.63,0.48,28,reverse_signal,-3.82,4,"KDJ-OS,KC-BOT,RSI-OS,LOW-VOL",ranging
2024-04-08 17:00,2024-04-08 22:00,2024-04,SELL,2100.63,2095.21,0.04,5,reverse_signal,1.11,3,"KDJ-OB,TOP-DIV",ranging
2024-04-08 22:00,2024-04-09 13:00,2024-04,BUY,2095.21,2106.17,0.6,15,reverse_signal,-1.15,3,"TREND+,KDJ-OS,LOW-VOL",ranging
2024-04-09 13:00,2024-04-09 16:00,2024-04,SELL,2106.17,2105.86,-0.47,3,reverse_signal,2.24,4,"KDJ-OB,KC-TOP,TOP-DIV",ranging
2024-04-09 16:00,2024-04-12 15:00,2024-04,BUY,2105.86,2100.45,-1.04,71,hard_stop,1.66,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-04-12 16:00,2024-04-13 01:00,2024-04,BUY,2098.99,2094.29,-0.97,9,hard_stop,-3.92,4,"KDJ-OS,KC-BOT,RSI-OS,LOW-VOL",ranging
2024-04-13 02:00,2024-04-15 20:00,2024-04,BUY,2095.07,2089.45,-1.06,18,hard_stop,-2.73,4,"KDJ-OS,KC-BOT,RSI-OS,LOW-VOL",ranging
2024-04-15 21:00,2024-04-16 02:00,2024-04,BUY,2088.28,2082.72,-1.06,5,hard_stop,-2.18,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-04-16 03:00,2024-04-17 21:00,2024-04,BUY,2082.79,2095.44,0.77,42,reverse_signal,-2.99,4,"KDJ-OS,KC-BOT,RSI-OS,LOW-VOL",ranging
2024-04-17 21:00,2024-04-17 23:00,2024-04,SELL,2095.44,2103.92,-1.35,2,hard_stop,1.61,3,"KDJ-OB,TOP-DIV",ranging
2024-04-18 00:00,2024-04-18 03:00,2024-04,SELL,2101.1,2102.83,-0.67,3,reverse_signal,2.59,4,"KDJ-OB,KC-TOP,TOP-DIV",ranging
2024-04-18 03:00,2024-04-18 16:00,2024-04,BUY,2102.83,2107.4,-0.04,13,reverse_signal,2.58,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-04-18 16:00,2024-04-19 00:00,2024-04,SELL,2107.4,2103.04,-0.06,8,reverse_signal,1.94,3,"KDJ-OB,TOP-DIV",ranging
2024-04-19 00:00,2024-04-20 00:00,2024-04,BUY,2103.04,2120.36,1.23,24,reverse_signal,-0.39,3,"TREND+,KDJ-OS,LOW-VOL",ranging
2024-04-20 00:00,2024-04-20 04:00,2024-04,SELL,2120.36,2126.68,-1.13,4,hard_stop,2.61,4,"KDJ-OB,KC-TOP,TOP-DIV",ranging
2024-04-20 05:00,2024-04-20 07:00,2024-04,SELL,2126.99,2130.13,-0.81,2,reverse_signal,3.79,5,"KDJ-OB,KC-TOP,TOP-DIV,RSI-OB",ranging
2024-04-20 07:00,2024-04-22 15:00,2024-04,BUY,2130.13,2136.02,0.09,8,reverse_signal,4.24,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-04-22 15:00,2024-04-23 01:00,2024-04,SELL,2136.02,2129.64,0.14,10,reverse_signal,4.11,3,"KDJ-OB,KC-TOP,RSI-OB",ranging
2024-04-23 01:00,2024-04-24 15:00,2024-04,BUY,2129.64,2160.41,2.58,38,reverse_signal,-0.73,3,"TREND+,KDJ-OS,LOW-VOL",ranging
2024-04-24 15:00,2024-04-24 21:00,2024-04,SELL,2160.41,2152.12,0.33,6,reverse_signal,3.47,3,"KDJ-OB,KC-TOP,RSI-OB",ranging
2024-04-24 21:00,2024-04-25 07:00,2024-04,BUY,2152.12,2157.14,0.0,10,reverse_signal,-0.37,3,"TREND+,KDJ-OS,LOW-VOL",ranging
2024-04-25 07:00,2024-04-25 09:00,2024-04,SELL,2157.14,2159.61,-0.75,2,reverse_signal,0.76,3,"KDJ-OB,TOP-DIV",ranging
2024-04-25 09:00,2024-04-26 08:00,2024-04,BUY,2159.61,2151.12,-1.35,23,hard_stop,1.46,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-04-26 09:00,2024-04-27 00:00,2024-04,BUY,2148.88,2142.76,-1.11,15,hard_stop,-3.6,4,"TREND+,KDJ-OS,KC-BOT,LOW-VOL",ranging
2024-04-27 01:00,2024-04-27 03:00,2024-04,BUY,2143.45,2137.07,-1.14,2,hard_stop,-2.75,6,"TREND+,KDJ-OS,KC-BOT,DIVERG,LOW-VOL",ranging
2024-04-27 04:00,2024-04-29 08:00,2024-04,BUY,2141.17,2148.83,0.27,4,reverse_signal,-2.33,4,"TREND+,KDJ-OS,KC-BOT,LOW-VOL",ranging
2024-04-29 08:00,2024-04-29 13:00,2024-04,SELL,2148.83,2146.31,-0.25,5,reverse_signal,0.5,3,"KDJ-OB,TOP-DIV",ranging
2024-04-29 13:00,2024-04-29 16:00,2024-04,BUY,2146.31,2148.82,-0.25,3,reverse_signal,-0.25,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-04-29 16:00,2024-04-29 20:00,2024-04,SELL,2148.82,2142.79,0.1,4,reverse_signal,0.68,3,"KDJ-OB,TOP-DIV",ranging
2024-04-29 20:00,2024-04-30 05:00,2024-04,BUY,2142.79,2136.26,-1.15,9,hard_stop,-1.32,3,"TREND+,KDJ-OS,LOW-VOL",ranging
2024-04-30 06:00,2024-04-30 10:00,2024-04,BUY,2135.31,2145.66,0.53,4,reverse_signal,-2.53,3,"KDJ-OS,KC-BOT,LOW-VOL",ranging
2024-04-30 10:00,2024-04-30 17:00,2024-04,SELL,2145.66,2137.71,0.29,7,reverse_signal,1.33,3,"KDJ-OB,TOP-DIV",ranging
2024-04-30 17:00,2024-05-01 11:00,2024-04,BUY,2137.71,2131.9,-1.08,18,hard_stop,-1.01,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-05-01 12:00,2024-05-02 16:00,2024-05,BUY,2129.31,2124.01,-1.03,28,hard_stop,-3.34,5,"KDJ-OS,KC-BOT,DIVERG,LOW-VOL",ranging
2024-05-02 20:00,2024-05-02 22:00,2024-05,BUY,2126.63,2117.02,-1.46,2,hard_stop,-0.96,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-05-02 23:00,2024-05-03 08:00,2024-05,BUY,2118.52,2112.6,-1.09,9,hard_stop,-2.86,5,"KDJ-OS,KC-BOT,DIVERG,LOW-VOL",ranging
2024-05-03 09:00,2024-05-03 17:00,2024-05,BUY,2112.19,2115.86,-0.13,8,reverse_signal,-2.99,4,"KDJ-OS,KC-BOT,RSI-OS,LOW-VOL",ranging
2024-05-03 17:00,2024-05-03 23:00,2024-05,SELL,2115.86,2115.88,-0.5,6,reverse_signal,-0.4,3,"KDJ-OB,TOP-DIV",ranging
2024-05-03 23:00,2024-05-06 08:00,2024-05,BUY,2115.88,2122.59,0.17,9,reverse_signal,-0.22,3,"DIVERG,LOW-VOL",ranging
2024-05-06 08:00,2024-05-07 03:00,2024-05,SELL,2122.59,2109.01,0.86,19,reverse_signal,1.51,3,"KDJ-OB,TOP-DIV",ranging
2024-05-07 03:00,2024-05-07 13:00,2024-05,BUY,2109.01,2107.7,-0.63,10,reverse_signal,-2.57,3,"KDJ-OS,KC-BOT,LOW-VOL",ranging
2024-05-07 13:00,2024-05-07 15:00,2024-05,SELL,2107.7,2107.47,-0.48,2,reverse_signal,-1.12,3,"KDJ-OB,TOP-DIV",ranging
2024-05-07 15:00,2024-05-08 17:00,2024-05,BUY,2107.47,2100.43,-1.2,26,hard_stop,-0.74,4,"KC-BOT,DIVERG,LOW-VOL",ranging
2024-05-08 18:00,2024-05-09 10:00,2024-05,BUY,2096.54,2106.9,0.54,16,reverse_signal,-2.91,6,"KDJ-OS,BB-BOT,KC-BOT,DIVERG,LOW-VOL",ranging
2024-05-09 10:00,2024-05-09 13:00,2024-05,SELL,2106.9,2113.18,-1.13,3,hard_stop,1.41,3,"KDJ-OB,TOP-DIV",ranging
2024-05-09 14:00,2024-05-10 00:00,2024-05,SELL,2114.68,2108.41,0.13,10,reverse_signal,3.19,4,"KDJ-OB,KC-TOP,TOP-DIV",ranging
2024-05-10 00:00,2024-05-10 08:00,2024-05,BUY,2108.41,2102.71,-1.07,8,hard_stop,0.96,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-05-10 09:00,2024-05-15 07:00,2024-05,BUY,2102.85,2108.73,0.09,70,reverse_signal,-0.74,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-05-15 07:00,2024-05-15 11:00,2024-05,SELL,2108.73,2108.84,-0.51,4,reverse_signal,0.4,3,"KDJ-OB,TOP-DIV",ranging
